Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
pthread_cond_timedwait@@GLIBC_2.3.2,1.21,3.19,1.7114999999999998
Query_block::prepare,1.25,2.67,1.6705000000000003
trx_undo_set_state_at_finish,0.04,2.67,1.6702999999999997
trx_set_rw_mode,0.1,2.98,1.6145999999999998
__x64_sys_ppoll,1.23,2.21,1.5522
consume_skb,1.05,2.4,1.4550999999999998
do_sys_poll,1.12,2.02,1.4260999999999995
PT_select_stmt::make_cmd,1.05,2.26,1.4182000000000008
do_poll.constprop.0,1.05,1.92,1.3504000000000005
skb_release_head_state,0.95,2.13,1.3038999999999998
unix_destruct_scm,0.94,2.12,1.2988000000000002
sock_def_readable,0.81,2.48,1.2844999999999995
sock_wfree,0.94,2.1,1.2843
select_task_rq,0.81,2.35,1.2766999999999995
MYSQLlex,0.93,2.06,1.2695
PT_query_expression::contextualize,0.93,2.05,1.2665
select_task_rq_fair,0.79,2.29,1.2481000000000002
unix_write_space,0.91,2.02,1.2381000000000002
pick_next_task,0.87,2.06,1.2222
locksys::Global_shared_latch_guard::Global_shared_latch_guard,0.31,2.67,1.1804
schedule_hrtimeout_range_clock,0.89,1.69,1.1714000000000007
pick_next_task_fair,0.83,1.94,1.1604
innobase_basic_ddl::delete_impl<dd::Table>,1.15,1.15,1.15
syscall,0.7,2.94,1.1104000000000003
row_drop_table_for_mysql,1.11,1.11,1.11
dict_create_index_tree_in_mem,1.1,1.1,1.1
ovl_fsync,0.65,2.8,1.0917999999999994
xfs_file_fsync,0.65,2.79,1.0868999999999998
select_idle_sibling,0.68,2.0,1.0838000000000003
lock_tables,0.79,1.76,1.0715000000000001
PT_query_specification::contextualize,0.77,1.73,1.0682000000000003
dict_index_add_to_cache_w_vcol,1.06,1.06,1.06
btr_create,1.05,1.05,1.05
__x64_sys_io_getevents,0.66,2.72,1.0471999999999995
do_io_getevents,0.66,2.72,1.0466999999999995
read_events,0.65,2.71,1.0442
syscall_exit_to_user_mode,0.7,1.94,1.0301000000000002
optimize_cond,0.7,1.73,1.0088
fsync,0.58,2.71,0.9927999999999996
__x64_sys_fsync,0.57,2.7,0.9858000000000002
page_cur_search_with_match_bytes,0.68,1.64,0.9652
exit_to_user_mode_prepare,0.65,1.79,0.9520000000000001
ttwu_do_activate,0.67,1.59,0.9353999999999999
FilterIterator::Read,0.69,1.47,0.9256000000000002
trans_commit_stmt,0.66,1.5,0.9008000000000002
select_idle_cpu,0.56,1.66,0.9003000000000004
SortingIterator::Init,0.63,4.54,0.8936999999999997
Query_block::setup_conds,0.66,1.44,0.8847
SortingIterator::DoSort,0.63,4.53,0.8823999999999996
MDL_context::acquire_lock,0.61,1.45,0.8775999999999997
close_thread_tables,0.61,1.37,0.8361000000000004
enqueue_task,0.59,1.41,0.8277999999999999
filesort,0.58,4.47,0.8263999999999997
enqueue_task_fair,0.58,1.38,0.8111999999999999
Item_func::fix_fields,0.6,1.33,0.81
__lll_lock_wait,0.56,1.6,0.8099000000000003
MDL_context::try_acquire_lock_impl,0.55,1.34,0.8079
sched_balance_newidle,0.55,1.38,0.7956000000000002
mysql_lock_tables,0.56,1.32,0.7843000000000001
exit_to_user_mode_loop,0.47,1.42,0.7141
Item_field::fix_fields,0.51,1.16,0.7079999999999999
file_write_and_wait_range,0.37,1.85,0.6944000000000001
get_mm_tree,0.47,1.17,0.6888
ha_innobase::extra,0.49,1.12,0.6716000000000002
setup_fields,0.47,1.08,0.6612000000000002
syscall_return_via_sysret,0.5,1.04,0.6583
ha_innobase::update_thd,0.48,1.1,0.6539000000000001
sched_balance_rq,0.45,1.12,0.6520999999999999
page_cur_search_with_match,0.44,1.08,0.6326000000000002
entry_SYSRETQ_unsafe_stack,0.47,0.99,0.6236
Buf_fetch_normal::get,0.43,1.0,0.6194000000000001
Query_result_send::send_result_set_metadata,0.44,1.0,0.6127999999999999
rec_get_offsets,0.41,1.04,0.6103000000000001
asm_sysvec_apic_timer_interrupt,0.51,0.78,0.6072000000000003
MYSQL_BIN_LOG::prepare,0.21,0.97,0.579
build_equal_items,0.39,0.96,0.5777
ha_prepare_low,0.2,0.96,0.5715
available_idle_cpu,0.36,1.07,0.5666
__filemap_fdatawait_range,0.27,1.55,0.5509000000000001
