Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
mutex_enter_inline<PolicyMutex<TTASEventMutex<BlockMutexPolicy> > >,0.38,0.86,0.584
decimal_mul,0.05,1.0,0.5660000000000001
HashJoinIterator::ReadNextHashJoinChunk,0.35,1.03,0.565
ha_insert_for_hash_func,0.46,0.62,0.552
ha_innobase::build_template,0.26,1.09,0.542
handler::ha_write_row,0.27,1.16,0.538
HashJoinIterator::ReadJoinedRow,0.31,0.74,0.5359999999999999
btr_pcur_t::store_position,0.47,0.62,0.5299999999999999
"std::thread::_State_impl<std::thread::_Invoker<std::tuple<Detached_thread, void",0.46,0.6,0.524
mtr_t::Command::release_all,0.27,0.72,0.512
copy_funcs,0.28,0.73,0.506
ha_innobase::intrinsic_table_write_row,0.25,1.09,0.496
Detached_thread::operator,0.39,0.54,0.46799999999999997
buf_flush_do_batch,0.39,0.54,0.46799999999999997
lob::undo_vers_t::reset,0.42,0.5,0.454
buf_flush_page,0.37,0.53,0.45199999999999996
dblwr::write,0.36,0.53,0.446
row_ins_clust_index_entry,0.19,1.02,0.44399999999999995
row_ins_clust_index_entry_low,0.19,1.02,0.44399999999999995
Double_write::write_to_datafile,0.36,0.51,0.442
btr_pcur_t::move_to_next_page,0.38,0.53,0.442
ext4_file_write,0.4,0.49,0.43200000000000005
temptable::Indexed_cells::compare,0.05,0.71,0.43200000000000005
generic_file_aio_write,0.4,0.48,0.42800000000000005
os_aio_func,0.31,0.46,0.386
temptable::Table::update,0.05,0.66,0.384
Item_field::val_date_temporal,0.3,0.43,0.378
HashJoinChunk::WriteRowToChunk,0.34,0.42,0.376
io_submit,0.31,0.45,0.366
Item_ref::val_decimal,0.11,0.64,0.364
temptable::Indexed_cells_hash::operator,0.07,0.54,0.362
do_io_submit,0.3,0.44,0.36
sys_io_submit,0.3,0.44,0.36
"std::_Hashtable<temptable::Indexed_cells, temptable::Indexed_cells, temptable::Allocator<temptable::Indexed_cells, temptable::Allocation_scheme<temptable::Exponential_policy, temptable::Prefer_RAM_over_MMAP_policy_obeying_per_table_limit> >, std::__detail::_Identity, temptable::Indexed_cells_equal_to, temptable::Indexed_cells_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_find_before_node",0.1,0.54,0.346
temptable::Table::is_index_update_needed,0.05,0.57,0.33799999999999997
Item_func_plus::decimal_op,0.03,0.52,0.33
Buf_fetch<Buf_fetch_other>::single_page,0.18,0.66,0.32799999999999996
hash_join_buffer::HashJoinRowBuffer::StoreRow,0.2,0.6,0.325
buf_read_page_low,0.2,0.54,0.324
rec_get_nth_field,0.27,0.39,0.324
[libpthread-2.17.so],0.21,0.44,0.31799999999999995
row_sel_convert_mysql_key_to_innobase,0.18,0.5,0.31799999999999995
Buf_fetch<Buf_fetch_normal>::read_page,0.19,0.5,0.30199999999999994
buf_read_page,0.19,0.49,0.3
rec_copy_prefix_to_buf,0.24,0.37,0.3
temptable::Indexed_cells::cell,0.08,0.51,0.3
handler::ha_statistic_increment,0.27,0.33,0.29600000000000004
pack_rows::StoreFromTableBuffers,0.22,0.32,0.28400000000000003
my_mb_wc_utf8mb4_thunk,0.14,0.46,0.266
Item_field::save_in_field_inner,0.18,0.31,0.262
ib_pg_flush-2,0.11,0.54,0.25666666666666665
__memset_sse2,0.11,0.35,0.254
Item_field::save_org_in_field,0.11,0.33,0.254
Item_func_le::val_int,0.04,0.38,0.2525
mtr_t::~mtr_t,0.2,0.28,0.242
trx_is_interrupted,0.21,0.29,0.242
update_item_cache_if_changed,0.17,0.35,0.236
__generic_file_aio_write,0.2,0.3,0.236
