Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
ha_commit_trans,2.09,2.61,2.3289999999999997
Double_write::single_write,2.05,2.65,2.3225
os_file_write_retry,2.06,2.58,2.2725
ip_finish_output,2.09,2.49,2.261
__sched_yield,1.73,2.38,2.1064999999999996
handler::ha_update_row,1.84,2.2,2.0269999999999997
__local_bh_enable_ip,1.76,2.16,1.984
ha_innobase::update_row,1.83,2.16,1.982
local_bh_enable,1.74,2.16,1.9730000000000003
buf_LRU_free_page,1.72,2.15,1.9564999999999997
__wake_up_common_lock,1.64,2.2,1.941
MYSQL_BIN_LOG::commit,1.69,2.22,1.9289999999999998
open_tables_for_query,1.81,2.29,1.9235
trans_commit,1.64,2.17,1.8744999999999998
mutex_lock,1.55,2.18,1.8564999999999998
net_rx_action,1.67,2.03,1.845
open_tables,1.71,2.2,1.8324999999999996
process_backlog,1.6,1.97,1.8140000000000005
__mutex_lock_slowpath,1.54,2.13,1.8085
__netif_receive_skb,1.59,1.94,1.7854999999999996
btr_cur_optimistic_insert,1.61,2.0,1.7779999999999998
__netif_receive_skb_core,1.56,1.91,1.7650000000000001
ip_rcv,1.5,1.85,1.717
row_upd_step,1.54,1.89,1.7145
system_call_after_swapgs,1.39,1.86,1.6490000000000002
MYSQL_BIN_LOG::ordered_commit,1.34,1.84,1.5745
ip_rcv_finish,1.39,1.71,1.5705
ip_local_deliver,1.39,1.69,1.5574999999999999
sys_futex,1.41,1.75,1.5550000000000002
rec_get_offsets,1.38,1.74,1.5315
do_futex,1.39,1.67,1.5030000000000001
LEX::make_sql_cmd,1.34,1.61,1.4869999999999999
__schedule,1.28,1.72,1.467
Protocol_classic::get_command,1.27,1.72,1.4554999999999998
ip_local_deliver_finish,1.3,1.58,1.4489999999999998
page_cur_search_with_match,1.22,1.64,1.41
tcp_v4_rcv,1.25,1.53,1.3934999999999997
ha_innobase::general_fetch,1.23,1.59,1.3860000000000003
__memcpy_ssse3_back,1.23,1.54,1.3794999999999997
ext4_da_write_begin,1.24,1.54,1.374
MYSQLlex,1.13,1.45,1.3359999999999999
__libc_recv,1.1,1.48,1.2445
my_net_read,1.03,1.43,1.209
mutex_enter_inline<PolicyMutex<TTASEventMutex<GenericPolicy> > >,1.08,1.36,1.2085000000000001
tcp_prequeue,1.05,1.31,1.2040000000000002
pfs_end_statement_vc,1.01,1.39,1.2035000000000002
ib_pg_flush_co,1.14,1.24,1.1889999999999998
row_ins_check_foreign_constraint,1.05,1.36,1.1824999999999999
buf_flush_do_batch,1.12,1.21,1.172
ibuf_merge_or_delete_for_page,1.02,1.29,1.1544999999999996
Sql_cmd_select::prepare_inner,0.95,1.32,1.1534999999999997
btr_cur_pessimistic_insert,1.0,1.39,1.1495000000000002
RefIterator<false>::Read,0.99,1.27,1.1195000000000002
Query_block::prepare,0.93,1.27,1.101
buf_read_page_background,0.95,1.23,1.0985
mpage_prepare_extent_to_map,0.95,1.28,1.092
handler::ha_index_next_same,0.89,1.3,1.0910000000000002
_int_malloc,0.91,1.28,1.084
nf_hook_slow,0.98,1.22,1.083
ext4_da_write_end,0.97,1.2,1.077
__wake_up_sync_key,0.91,1.18,1.073
Double_write::prepare,0.88,1.22,1.0614999999999999
trx_undo_report_row_operation,0.88,1.19,1.0594999999999999
Double_write::check_block,0.88,1.2,1.0455
filemap_fdatawait_range,0.91,1.15,1.0239999999999998
__filemap_fdatawait_range,0.91,1.14,1.019
irq_exit,0.82,1.26,1.016
osq_lock,0.84,1.19,1.014
open_table,0.88,1.26,1.0090000000000003
THD::binlog_write_table_map,0.86,1.11,1.0025
dblwr::write,0.95,1.04,1.0014999999999998
cmp_dtuple_rec_with_match_low,0.81,1.19,0.9865000000000002
__find_get_page,0.8,1.23,0.9635000000000001
submit_bio,0.76,1.13,0.9594999999999999
__irqentry_text_start,0.78,1.13,0.958
ret_from_intr,0.78,1.13,0.958
Double_write::enqueue,0.88,1.0,0.9404999999999999
generic_make_request,0.73,1.1,0.9360000000000002
pthread_cond_broadcast@@GLIBC_2.3.2,0.83,1.12,0.9354999999999999
nf_iterate,0.82,1.06,0.9344999999999999
